city,district,block,source,title,area_m2,rent_month_yuan,rent_per_m2,page
Beijing,Haidian,Wanliu,fang,15套起看 媲美万柳书院万城华府玺园 稳定出租,416.0,80000.0,192.30769230769232,1
Beijing,Haidian,Wanliu,fang,10套可看万城华府尚园 新出平层4居室 带车库 同看,468.0,58000.0,123.93162393162393,1
Beijing,Haidian,Wanliu,fang,新出位置安静 可直接入住 楼层好 330平米 三面采,330.0,138000.0,418.1818181818182,1
Beijing,Haidian,Wanliu,fang,万城华府海园 5室3厅4卫 视野开阔 主卧朝南,381.0,120000.0,314.96062992125985,1
Beijing,Haidian,Wanliu,fang,20套起看万城华府四面采光好山阁 万城华府龙园一层花,395.0,88000.0,222.78481012658227,1
Beijing,Haidian,Wanliu,fang,有钥匙 15套起看 万柳书院万城华府 一层一户大平层,382.0,88000.0,230.36649214659687,1
Beijing,Haidian,Wanliu,fang,业主委托 看房随时 干净整洁 随时入住 3居 有钥匙,273.0,57500.0,210.62271062271063,1
Beijing,Haidian,Wanliu,fang,20套起看万柳书院万城华府龙湖颐和原著 3居4卫书院,330.0,130000.0,393.93939393939394,1
Beijing,Haidian,Wanliu,fang,主做万柳书院万城华府 万泉新新龙湖颐原著看房随时 有,307.0,58000.0,188.92508143322476,1
Beijing,Haidian,Wanliu,fang,新出万柳万柳书院科技装修 采光好5居看房随时+车位,330.0,136000.0,412.1212121212121,1
Beijing,Haidian,Wanliu,fang,新出可看1 5套起看万柳书院 万城华府 高层光线好,300.0,88000.0,293.3333333333333,1
Beijing,Haidian,Wanliu,fang,15套起看 有钥匙看房随时万城华府尚园 中间位置 三,351.0,75000.0,213.67521367521368,1
Beijing,Haidian,Wanliu,fang,25套可看 复式官邸 三面采光 同看万万柳书院,348.0,68000.0,195.4022988505747,1
Beijing,Haidian,Wanliu,fang,20套起看万柳书院万城华府龙湖颐和原著 3居4卫书院,330.0,130000.0,393.93939393939394,1
Beijing,Haidian,Wanliu,fang,万城华府尚园 海园 龙园 玺园4室2厅3卫 +车位,377.0,56000.0,148.54111405835545,1
Beijing,Haidian,Wanliu,fang,30套可看高层出租万城华府万柳书院 一层一户看房随时,395.0,85000.0,215.18987341772151,1
Beijing,Haidian,Wanliu,fang,万城华府海园 4室3厅4卫 格局方正 卫生间全明,298.0,100000.0,335.5704697986577,1
Beijing,Haidian,Wanliu,fang,下楼地铁站 万柳新小区 全新智能家居 有车位 可长租,218.0,58000.0,266.0550458715596,1
Beijing,Haidian,Wanliu,fang,多套有钥匙 万柳书院上跃 万城华府 龙湖颐和原著 随,375.0,88000.0,234.66666666666666,1
Beijing,Haidian,Wanliu,fang,联排别墅 精装修联排 六居 独立花园私家车库 可居家,550.0,90000.0,163.63636363636363,1
Beijing,Haidian,Wanliu,fang,万柳书院次顶层三居室 隐私社区 采光好 三车位 一储,218.0,55000.0,252.29357798165137,1
Beijing,Haidian,Wanliu,fang,万城华府尚园 4室3厅3卫 品质小区 格局方正,299.0,76000.0,254.18060200668896,1
Beijing,Haidian,Wanliu,fang,"万柳书院精装大平层,家电齐全带车位,三面采光,中间位",251.0,65000.0,258.9641434262948,1
Beijing,Haidian,Wanliu,fang,万城华府业主次出租 别墅 一层带 花圃 带车位配套齐,347.0,60000.0,172.9106628242075,1
Beijing,Haidian,Wanliu,fang,万柳书院万城华府多套可以 218 245 270 3,245.0,65000.0,265.3061224489796,1
Beijing,Haidian,Wanliu,fang,"书院大平层,精装修,次顶层,带车位",246.0,75000.0,304.8780487804878,1
Beijing,Haidian,Wanliu,fang,有钥匙智能家居万柳书院 南北通透3居+车位储藏间巴沟,218.0,55000.0,252.29357798165137,1
Beijing,Haidian,Wanliu,fang,万城华府海园 4室3厅2卫 南北通透 主卧朝南,382.0,100000.0,261.78010471204186,1
Beijing,Haidian,Wanliu,fang,10套起看 万城华府 复式官邸 看房随时 有车位 干,460.0,58000.0,126.08695652173913,1
Beijing,Haidian,Wanliu,fang,20套多看 新出 干净 万城华府万柳书院龙湖颐和原著,312.0,52000.0,166.66666666666666,1
Beijing,Haidian,Wanliu,fang,20套可看 万城华府 万柳书院 一次出租 干净整洁,218.0,65000.0,298.1651376146789,1
Beijing,Haidian,Wanliu,fang,10套起看 万城华府 万柳书院 大面宽 采光好 干净,348.0,66000.0,189.6551724137931,1
Beijing,Haidian,Wanliu,fang,龙湖颐和原著 独栋别墅 万城华府 万柳书院同看润泽御,1501.0,130000.0,86.6089273817455,1
Beijing,Haidian,Wanliu,fang,万城华府 平层五居室 拎包入住 家具家电齐全 同看,380.0,110000.0,289.4736842105263,1
Beijing,Haidian,Wanliu,fang,20套可看 万城华府 万柳书院 一次出租 干净整洁,218.0,65000.0,298.1651376146789,1
Beijing,Haidian,Wanliu,fang,万柳书院 3室2厅2卫 主卧朝南 同看万城华府 龙湖,218.0,78000.0,357.79816513761466,1
Beijing,Haidian,Wanliu,fang,万柳书院新房 精致装修 同看万城华府 缦和北京 龙湖,442.0,85000.0,192.30769230769232,1
Beijing,Haidian,Wanliu,fang,万柳万泉一层带南花园 满五年税费少 带车位 位置好,200.0,32000.0,160.0,1
Beijing,Haidian,Wanliu,fang,万泉小三居 有 户型方正 看房效果,136.0,24000.0,176.47058823529412,1
Beijing,Haidian,Wanliu,fang,光大水墨风景 4室2厅3卫 两房朝南 主卧朝南,192.0,36000.0,187.5,1
Beijing,Haidian,Wanliu,fang,碧水云天东区 4室2厅2卫 带飘窗 格局方正,178.0,28500.0,160.1123595505618,1
Beijing,Haidian,Wanliu,fang,干净整洁 万柳书院 万城华府海园龙湖颐和原著 4居看,307.0,65000.0,211.72638436482086,1
Beijing,Haidian,Wanliu,fang,高层 出租 万城华府一梯一户平层(装修好带车位)看房,395.0,88000.0,222.78481012658227,1
Beijing,Haidian,Wanliu,fang,万城华府海园 5室3卫3厅 378平精装修 1000,378.0,100000.0,264.55026455026456,1
Beijing,Haidian,Wanliu,fang,万城华府龙园 5室3卫3厅 395.2平毛坯6000,395.0,60000.0,151.8987341772152,1
Beijing,Haidian,Wanliu,fang,15套起看 有钥匙 万城华府+万柳书院 客厅挑空 +,320.0,63500.0,198.4375,1
Beijing,Haidian,Wanliu,fang,媲美万城华府 万柳书院 户型方正 精装修平层 配套双,562.0,125000.0,222.41992882562278,1
Beijing,Haidian,Wanliu,fang,20套可看 万城华府海园 玺园 尚园 龙园 同看 万,345.0,65000.0,188.40579710144928,1
Beijing,Haidian,Wanliu,fang,"10套房源起看万城华府,万柳书院,万泉新新家园,龙湖",274.0,60000.0,218.97810218978103,1
Beijing,Haidian,Wanliu,fang,万城华府龙园 新出平层四居室 带车库 4室3厅3卫,307.0,55000.0,179.1530944625407,1
Beijing,Haidian,Wanliu,fang,颐和园旁 龙湖颐和原著 万城华府 万柳书院同看 独栋,1501.0,160000.0,106.59560293137908,1
Beijing,Haidian,Wanliu,fang,10套起看 万城华府龙园(19年全新装修)270度采,535.0,60000.0,112.14953271028037,1
Beijing,Haidian,Wanliu,fang,20套起看 万城华府 复式官邸 看房随时 有车位 干,300.0,68000.0,226.66666666666666,1
Beijing,Haidian,Wanliu,fang,"价格能谈只要出价就行,双向奔赴得好房源,有条件您提出",248.0,35000.0,141.1290322580645,1
Beijing,Haidian,Wanliu,fang,10套起看 万城华府 万柳书院 大面宽 采光好 干净,348.0,56000.0,160.91954022988506,1
Beijing,Haidian,Wanliu,fang,20套起看 万柳书院万城华府 2居南北通透 有车位有,116.0,24000.0,206.89655172413794,1
Beijing,Haidian,Wanliu,fang,涧桥泊屋 4室2卫2厅 194.64平精装修 280,194.0,28000.0,144.3298969072165,1
Beijing,Haidian,Wanliu,fang,"全南两居精装修,价格可谈!",105.0,13000.0,123.80952380952381,1
Beijing,Haidian,Wanliu,fang,万城华府龙园 新出三居 业主委托 随时看房,145.0,26000.0,179.31034482758622,1
Beijing,Haidian,Wanliu,fang,万柳书院4室2厅精装修,323.0,145000.0,448.91640866873064,1
Beijing,Haidian,Wanliu,fang,15套起看 媲美万柳书院万城华府玺园 稳定出租,416.0,80000.0,192.30769230769232,1
Beijing,Haidian,Wanliu,fang,10套可看万城华府尚园 新出平层4居室 带车库 同看,468.0,58000.0,123.93162393162393,1
Beijing,Haidian,Wanliu,fang,新出位置安静 可直接入住 楼层好 330平米 三面采,330.0,138000.0,418.1818181818182,1
Beijing,Haidian,Wanliu,fang,万城华府海园 5室3厅4卫 视野开阔 主卧朝南,381.0,120000.0,314.96062992125985,1
Beijing,Haidian,Wanliu,fang,20套起看万城华府四面采光好山阁 万城华府龙园一层花,395.0,88000.0,222.78481012658227,1
Beijing,Haidian,Wanliu,fang,有钥匙 15套起看 万柳书院万城华府 一层一户大平层,382.0,88000.0,230.36649214659687,1
Beijing,Haidian,Wanliu,fang,业主委托 看房随时 干净整洁 随时入住 3居 有钥匙,273.0,57500.0,210.62271062271063,1
Beijing,Haidian,Wanliu,fang,20套起看万柳书院万城华府龙湖颐和原著 3居4卫书院,330.0,130000.0,393.93939393939394,1
Beijing,Haidian,Wanliu,fang,主做万柳书院万城华府 万泉新新龙湖颐原著看房随时 有,307.0,58000.0,188.92508143322476,1
Beijing,Haidian,Wanliu,fang,新出万柳万柳书院科技装修 采光好5居看房随时+车位,330.0,136000.0,412.1212121212121,1
Beijing,Haidian,Wanliu,fang,新出可看1 5套起看万柳书院 万城华府 高层光线好,300.0,88000.0,293.3333333333333,1
Beijing,Haidian,Wanliu,fang,15套起看 有钥匙看房随时万城华府尚园 中间位置 三,351.0,75000.0,213.67521367521368,1
Beijing,Haidian,Wanliu,fang,25套可看 复式官邸 三面采光 同看万万柳书院,348.0,68000.0,195.4022988505747,1
Beijing,Haidian,Wanliu,fang,20套起看万柳书院万城华府龙湖颐和原著 3居4卫书院,330.0,130000.0,393.93939393939394,1
Beijing,Haidian,Wanliu,fang,万城华府尚园 海园 龙园 玺园4室2厅3卫 +车位,377.0,56000.0,148.54111405835545,1
Beijing,Haidian,Wanliu,fang,30套可看高层出租万城华府万柳书院 一层一户看房随时,395.0,85000.0,215.18987341772151,1
Beijing,Haidian,Wanliu,fang,万城华府海园 4室3厅4卫 格局方正 卫生间全明,298.0,100000.0,335.5704697986577,1
Beijing,Haidian,Wanliu,fang,下楼地铁站 万柳新小区 全新智能家居 有车位 可长租,218.0,58000.0,266.0550458715596,1
Beijing,Haidian,Wanliu,fang,多套有钥匙 万柳书院上跃 万城华府 龙湖颐和原著 随,375.0,88000.0,234.66666666666666,1
Beijing,Haidian,Wanliu,fang,联排别墅 精装修联排 六居 独立花园私家车库 可居家,550.0,90000.0,163.63636363636363,1
Beijing,Haidian,Wanliu,fang,万柳书院次顶层三居室 隐私社区 采光好 三车位 一储,218.0,55000.0,252.29357798165137,1
Beijing,Haidian,Wanliu,fang,万城华府尚园 4室3厅3卫 品质小区 格局方正,299.0,76000.0,254.18060200668896,1
Beijing,Haidian,Wanliu,fang,"万柳书院精装大平层,家电齐全带车位,三面采光,中间位",251.0,65000.0,258.9641434262948,1
Beijing,Haidian,Wanliu,fang,万城华府业主次出租 别墅 一层带 花圃 带车位配套齐,347.0,60000.0,172.9106628242075,1
Beijing,Haidian,Wanliu,fang,万柳书院万城华府多套可以 218 245 270 3,245.0,65000.0,265.3061224489796,1
Beijing,Haidian,Wanliu,fang,"书院大平层,精装修,次顶层,带车位",246.0,75000.0,304.8780487804878,1
Beijing,Haidian,Wanliu,fang,有钥匙智能家居万柳书院 南北通透3居+车位储藏间巴沟,218.0,55000.0,252.29357798165137,1
Beijing,Haidian,Wanliu,fang,万城华府海园 4室3厅2卫 南北通透 主卧朝南,382.0,100000.0,261.78010471204186,1
Beijing,Haidian,Wanliu,fang,10套起看 万城华府 复式官邸 看房随时 有车位 干,460.0,58000.0,126.08695652173913,1
Beijing,Haidian,Wanliu,fang,20套多看 新出 干净 万城华府万柳书院龙湖颐和原著,312.0,52000.0,166.66666666666666,1
Beijing,Haidian,Wanliu,fang,20套可看 万城华府 万柳书院 一次出租 干净整洁,218.0,65000.0,298.1651376146789,1
Beijing,Haidian,Wanliu,fang,10套起看 万城华府 万柳书院 大面宽 采光好 干净,348.0,66000.0,189.6551724137931,1
Beijing,Haidian,Wanliu,fang,龙湖颐和原著 独栋别墅 万城华府 万柳书院同看润泽御,1501.0,130000.0,86.6089273817455,1
Beijing,Haidian,Wanliu,fang,万城华府 平层五居室 拎包入住 家具家电齐全 同看,380.0,110000.0,289.4736842105263,1
Beijing,Haidian,Wanliu,fang,20套可看 万城华府 万柳书院 一次出租 干净整洁,218.0,65000.0,298.1651376146789,1
