city,district,block,source,title,area_m2,total_price_yuan,unit_price_yuan_per_m2,page
Beijing,Haidian,Wanliu,fang,光大花园3室2厅精装修,151.0,14990000.0,99271.0,1
Beijing,Haidian,Wanliu,fang,"枫树园稀缺户型,中高楼层,南向朝园区西向视野无遮挡,看房随时",142.54,15500000.0,108741.0,1
Beijing,Haidian,Wanliu,fang,万城华府玺园 4室3厅3卫 电梯房 近地铁,420.21,70000000.0,166583.0,1
Beijing,Haidian,Wanliu,fang,有钥匙 位置好 碧水云天西区 5室3厅4卫 电梯房 近地铁,305.08,43000000.0,140946.0,1
Beijing,Haidian,Wanliu,fang,观西山 顶层 花2居的钱住3居 看房随时 保养好 老业主委托,114.59,24000000.0,209442.0,1
Beijing,Haidian,Wanliu,fang,万城华府 好山阁(空中别墅 一层一户)四面采光,395.0,85000000.0,215189.0,1
Beijing,Haidian,Wanliu,fang,万柳书院 3室2厅3卫 品质小区 客厅朝南,266.79,59000000.0,221147.0,1
Beijing,Haidian,Wanliu,fang,急售 高层远观西山经典南北三居、客厅主卧朝南正对园区花园,150.21,21000000.0,139804.0,1
Beijing,Haidian,Wanliu,fang,万城华府 万柳书院 总价低2居 业主诚意出售 老业主委托,115.0,21500000.0,186956.0,1
Beijing,Haidian,Wanliu,fang,复式 碧水云天西区 4室2厅2卫 主卧朝南 品质小区,235.84,34000000.0,144165.0,1
Beijing,Haidian,Wanliu,fang,全新装修 景观无敌 万泉新新家园 4室 位置好,316.0,54000000.0,170886.0,1
Beijing,Haidian,Wanliu,fang,万柳书院万城华府 好山阁(空中别墅 一层一户)四面采光,395.0,89500000.0,226582.0,1
Beijing,Haidian,Wanliu,fang,特价必看万柳书院一层下跃有院 5.4折 一口价6280万,464.87,62800000.0,147353.0,1
Beijing,Haidian,Wanliu,fang,万城华府 海淀万柳书院一梯一户私密性好科技住宅,265.0,51500000.0,194339.0,1
Beijing,Haidian,Wanliu,fang,3室2厅光大水墨风景,147.15,21500000.0,146109.0,1
Beijing,Haidian,Wanliu,fang,"30套起看新出景观房 万柳书院 精装修 顶层上跃,有本可交易",477.0,85000000.0,178197.0,1
Beijing,Haidian,Wanliu,fang,万泉新新家园 3室2厅2卫 格局方正 客厅朝南,169.65,22900000.0,134983.0,1
Beijing,Haidian,Wanliu,fang,3室2厅碧水云天2期,140.04,21500000.0,153527.0,1
Beijing,Haidian,Wanliu,fang,30套可看观小区安静 2套打通大平层 三面采光 老业主委托,745.0,194000000.0,260402.0,1
Beijing,Haidian,Wanliu,fang,万城华府联排 万柳书院 龙湖颐和原著 北京庄园 缦和北京同看,551.0,98000000.0,177858.0,1
