面积(㎡),总价(元/月)
66.0,10200.0
74.0,15000.0
85.0,12500.0
58.0,9500.0
58.0,9500.0
57.0,6000.0
63.0,7300.0
18.0,4260.0
57.0,5985.0
69.0,2800.0
59.0,7000.0
25.0,2500.0
45.0,5700.0
81.0,8800.0
11.0,3600.0
41.0,6300.0
15.0,3500.0
60.0,7600.0
87.0,15000.0
54.0,6700.0
62.0,8600.0
25.0,2800.0
66.0,3200.0
60.0,9800.0
64.0,6840.0
67.0,7400.0
66.0,7200.0
66.0,10200.0
54.0,7500.0
43.0,7300.0
15.0,3500.0
104.0,11000.0
25.0,3400.0
127.0,13200.0
60.0,9800.0
113.0,15000.0
102.0,14000.0
56.0,6900.0
87.0,15000.0
66.0,8500.0
9.0,3300.0
57.0,6000.0
92.0,9200.0
57.0,8000.0
60.0,6000.0
18.0,2300.0
63.0,7300.0
79.0,10830.0
57.0,6935.0
65.0,6300.0
65.0,7200.0
78.0,16800.0
60.0,4085.0
48.0,6900.0
48.0,6200.0
49.0,6650.0
62.0,6500.0
62.0,6500.0
26.0,6600.0
81.0,9000.0
41.0,6300.0
41.0,7600.0
66.0,10200.0
81.0,8800.0
26.0,6600.0
66.0,10200.0
49.0,6650.0
69.0,2800.0
15.0,3500.0
113.0,15000.0
60.0,9800.0
63.0,7300.0
59.0,7000.0
79.0,10830.0
87.0,15000.0
43.0,7300.0
66.0,8000.0
102.0,14000.0
42.0,6100.0
84.0,9200.0
68.0,8500.0
26.0,6100.0
60.0,7500.0
15.0,3000.0
49.0,8000.0
196.0,16500.0
57.0,6800.0
58.0,7800.0
55.0,8500.0
110.0,12500.0
67.0,8200.0
82.0,10500.0
57.0,7200.0
79.0,14000.0
86.0,9500.0
62.0,11290.0
49.0,7400.0
53.0,7600.0
72.0,9000.0
44.0,6790.0
60.0,10000.0
81.0,11500.0
101.0,12800.0
44.0,6500.0
81.0,8600.0
61.0,10000.0
61.0,7600.0
57.0,8000.0
85.0,6000.0
68.0,9500.0
73.0,14500.0
57.0,7630.0
58.0,10500.0
73.0,13250.0
67.0,8100.0
42.0,6000.0
68.0,8900.0
68.0,7800.0
64.0,8600.0
69.0,8290.0
64.0,8000.0
41.0,6100.0
95.0,11000.0
67.0,7600.0
65.0,7000.0
75.0,6500.0
113.0,16000.0
94.0,9200.0
74.0,6000.0
36.0,7500.0
63.0,6900.0
81.0,9240.0
197.0,16500.0
79.0,16500.0
52.0,8630.0
56.0,11500.0
83.0,5700.0
80.0,9200.0
66.0,8460.0
85.0,13000.0
57.0,7200.0
39.0,6260.0
54.0,7200.0
60.0,9030.0
60.0,7490.0
61.0,9500.0
54.0,7500.0
18.0,4300.0
254.0,20000.0
67.0,6499.0
44.0,6825.0
75.0,12500.0
65.0,5200.0
67.0,7500.0
54.0,7000.0
66.0,8100.0
80.0,13800.0
77.0,14200.0
53.0,6500.0
67.0,7600.0
67.0,7300.0
60.0,6300.0
80.0,8800.0
49.0,7300.0
67.0,7600.0
66.0,10000.0
68.0,7800.0
66.0,7860.0
46.0,6500.0
62.0,8900.0
44.0,6500.0
66.0,7200.0
32.0,6730.0
82.0,9200.0
60.0,7800.0
50.0,8430.0
102.0,15000.0
67.0,7600.0
50.0,4300.0
61.0,7100.0
85.0,13000.0
49.0,6800.0
49.0,7400.0
59.0,8500.0
53.0,6300.0
58.0,8830.0
82.0,5800.0
65.0,5200.0
60.0,7600.0
54.0,7800.0
127.0,12000.0
62.0,11290.0
54.0,7500.0
67.0,8000.0
67.0,15500.0
81.0,9240.0
75.0,11532.0
92.0,9600.0
82.0,9600.0
61.0,8500.0
61.0,7600.0
53.0,5900.0
60.0,7600.0
58.0,7800.0
45.0,7200.0
43.0,7500.0
58.0,7500.0
110.0,12500.0
56.0,6500.0
66.0,7700.0
60.0,10800.0
58.0,8200.0
72.0,9000.0
45.0,4200.0
77.0,14200.0
68.0,8900.0
254.0,20000.0
94.0,11000.0
197.0,16500.0
79.0,16500.0
64.0,7500.0
58.0,7980.0
66.0,8100.0
67.0,7200.0
66.0,8000.0
66.0,7600.0
67.0,7600.0
57.0,6900.0
46.0,6500.0
56.0,6800.0
57.0,6800.0
83.0,5700.0
69.0,8290.0
55.0,5000.0
74.0,6000.0
85.0,6000.0
36.0,7500.0
57.0,9000.0
79.0,17000.0
82.0,11000.0
32.0,5700.0
44.0,4500.0
57.0,7200.0
61.0,7803.0
42.0,6000.0
60.0,7490.0
60.0,6300.0
64.0,7500.0
67.0,7600.0
61.0,9500.0
66.0,8200.0
43.0,7500.0
63.0,6100.0
67.0,8000.0
111.0,13500.0
65.0,5200.0
113.0,13000.0
84.0,9200.0
61.0,7600.0
95.0,9900.0
61.0,10000.0
68.0,7800.0
64.0,8600.0
97.0,15000.0
84.0,6000.0
55.0,5000.0
58.0,7800.0
39.0,6260.0
197.0,16500.0
44.0,6500.0
81.0,11500.0
20.0,3500.0
66.0,7700.0
82.0,9600.0
58.0,8200.0
67.0,7600.0
57.0,8500.0
18.0,4300.0
78.0,15000.0
63.0,7260.0
32.0,6730.0
64.0,8000.0
59.0,8500.0
66.0,8460.0
45.0,7200.0
74.0,6000.0
113.0,16000.0
75.0,12500.0
94.0,11000.0
66.0,7860.0
57.0,6900.0
57.0,9000.0
80.0,9200.0
69.0,8290.0
67.0,7400.0
66.0,7200.0
60.0,10800.0
53.0,5900.0
127.0,12000.0
26.0,6100.0
67.0,6499.0
20.0,3500.0
67.0,7300.0
43.0,6200.0
49.0,7300.0
