面积(㎡),总价,单价(元/㎡)
91.28,7200000.0,78878.0
56.7,3980000.0,70194.0
58.7,4800000.0,81771.0
57.0,3550000.0,62280.0
56.7,3980000.0,70194.0
254.0,12550000.0,49409.0
57.9,4900000.0,84628.0
92.13,7880000.0,85531.0
65.5,5500000.0,83969.0
26.8,2550000.0,95149.0
92.2,8800000.0,95444.0
60.94,5200000.0,85329.0
61.15,5000000.0,81766.0
65.5,5500000.0,83969.0
151.8,9500000.0,62582.0
61.15,5000000.0,81766.0
196.7,12800000.0,65073.0
151.8,9500000.0,62582.0
254.1,15500000.0,60999.0
62.8,4850000.0,77229.0
91.28,7200000.0,78878.0
254.1,15500000.0,60999.0
254.1,15500000.0,60999.0
91.28,7200000.0,78878.0
114.36,10800000.0,94438.0
122.1,12000000.0,98280.0
41.9,3200000.0,76372.0
62.8,4850000.0,77229.0
171.3,13800000.0,80560.0
60.94,5200000.0,85329.0
41.9,3200000.0,76372.0
61.15,5000000.0,81766.0
57.9,4900000.0,84628.0
254.1,15500000.0,60999.0
122.1,12000000.0,98280.0
66.91,5800000.0,86683.0
80.79,7500000.0,92833.0
91.28,7200000.0,78878.0
66.91,5800000.0,86683.0
62.48,5300000.0,84827.0
61.15,5000000.0,81766.0
26.8,2550000.0,95149.0
171.3,13800000.0,80560.0
64.82,4680000.0,72199.0
80.96,6990000.0,86338.0
41.2,2800000.0,67961.0
81.36,7800000.0,95870.0
100.29,9500000.0,94725.0
100.29,6295000.0,62767.0
58.3,4950000.0,84905.0
52.84,4600000.0,87055.0
83.76,8900000.0,106255.0
179.8,11800000.0,65628.0
50.84,4990000.0,98151.0
67.58,4500000.0,66587.0
51.3,3750000.0,73099.0
179.8,11800000.0,65628.0
65.0,4320000.0,66461.0
63.45,4600000.0,72498.0
56.73,4200000.0,74034.0
80.96,6990000.0,86338.0
80.96,6990000.0,86338.0
80.96,6500000.0,80286.0
53.04,3500000.0,65987.0
56.73,4200000.0,74034.0
54.36,4200000.0,77262.0
56.73,4690000.0,82672.0
83.76,8900000.0,106255.0
179.8,11800000.0,65628.0
84.06,5880000.0,69950.0
81.4,7200000.0,88452.0
56.73,4200000.0,74034.0
44.8,3120000.0,69642.0
64.82,4680000.0,72199.0
50.84,4990000.0,98151.0
56.73,4690000.0,82672.0
81.36,6850000.0,84193.0
49.62,4350000.0,87666.0
56.0,4300000.0,76785.0
64.82,4680000.0,72199.0
81.61,6890000.0,84425.0
45.51,2790000.0,61305.0
51.3,3750000.0,73099.0
45.51,2790000.0,61305.0
80.49,6900000.0,85724.0
58.3,4950000.0,84905.0
179.8,11200000.0,62291.0
80.96,6990000.0,86338.0
65.0,4320000.0,66461.0
179.8,11800000.0,65628.0
61.54,5350000.0,86935.0
69.12,5500000.0,79571.0
54.4,4490000.0,82536.0
66.91,4450000.0,66507.0
41.2,2800000.0,67961.0
56.0,4300000.0,76785.0
81.61,6890000.0,84425.0
54.36,4200000.0,77262.0
61.5,4750000.0,77235.0
92.2,7200000.0,78091.0
68.11,3060000.0,44927.0
44.8,2400000.0,53571.0
61.54,5350000.0,86935.0
112.0,10800000.0,96428.0
69.13,4620000.0,66830.0
122.1,8850000.0,72481.0
45.51,2790000.0,61305.0
84.06,5880000.0,69950.0
100.1,8500000.0,84915.0
54.51,4500000.0,82553.0
69.13,6500000.0,94025.0
63.45,4600000.0,72498.0
60.1,4250000.0,70715.0
64.82,4680000.0,72199.0
100.29,6295000.0,62767.0
63.45,6900000.0,108747.0
51.3,3750000.0,73099.0
81.36,7800000.0,95870.0
53.04,4350000.0,82013.0
42.4,3390000.0,79952.0
44.8,2400000.0,53571.0
80.96,6990000.0,86338.0
81.61,6890000.0,84425.0
50.84,4990000.0,98151.0
44.8,2400000.0,53571.0
63.45,4450000.0,70133.0
330.0,16280000.0,49333.0
40.17,3100000.0,77172.0
92.2,7200000.0,78091.0
51.3,3750000.0,73099.0
58.27,4450000.0,76368.0
67.09,4150000.0,61857.0
66.91,4450000.0,66507.0
60.1,4250000.0,70715.0
100.29,9500000.0,94725.0
66.91,4450000.0,66507.0
64.82,4680000.0,72199.0
100.29,6295000.0,62767.0
56.0,4300000.0,76785.0
81.36,6850000.0,84193.0
263.95,22980000.0,87062.0
66.91,4190000.0,62621.0
80.79,7400000.0,91596.0
122.1,12000000.0,98280.0
263.95,26900000.0,101914.0
54.51,4500000.0,82554.0
100.29,9500000.0,94726.0
61.5,4750000.0,77236.0
84.06,5880000.0,69951.0
42.4,3390000.0,79953.0
56.7,3980000.0,70195.0
58.3,4950000.0,84906.0
72.2,5590000.0,77424.0
122.1,8850000.0,72482.0
45.51,2790000.0,61306.0
66.91,4450000.0,66508.0
263.9,22980000.0,87078.0
26.8,2560000.0,95523.0
50.84,4990000.0,98151.0
66.91,5800000.0,86684.0
44.8,3120000.0,69643.0
56.0,4300000.0,76786.0
54.4,4490000.0,82537.0
41.5,3350000.0,80723.0
58.4,4900000.0,83904.0
111.87,9800000.0,87602.0
58.27,4450000.0,76369.0
69.12,5500000.0,79572.0
53.04,4160000.0,78432.0
114.36,10800000.0,94439.0
64.82,4680000.0,72200.0
44.7,3390000.0,75839.0
57.9,4900000.0,84629.0
67.09,4150000.0,61858.0
151.8,12680000.0,83531.0
81.4,7200000.0,88453.0
337.4,17900000.0,53053.0
63.45,4390000.0,69189.0
49.62,4990000.0,100565.0
63.45,6900000.0,108747.0
53.0,3500000.0,66038.0
26.8,2560000.0,95523.0
100.29,9500000.0,94726.0
69.13,6500000.0,94026.0
57.9,4900000.0,84629.0
63.45,6900000.0,108747.0
