source,title,rent_month_yuan,area_m2,location,city,district,block,page
zu,15套起看 媲美万柳书院万城华府玺园 稳定出租,80000.0,416.0,万柳,北京,海淀,万柳,1
zu,10套可看万城华府尚园 新出平层4居室 带车库 同看,58000.0,468.0,海淀,北京,海淀,万柳,1
zu,新出位置安静 可直接入住 楼层好 330平米 三面采,138000.0,330.0,海淀,北京,海淀,万柳,1
zu,万城华府海园 5室3厅4卫 视野开阔 主卧朝南,120000.0,381.0,海淀,北京,海淀,万柳,1
zu,20套起看万城华府四面采光好山阁 万城华府龙园一层花,88000.0,395.0,海淀,北京,海淀,万柳,1
zu,有钥匙 15套起看 万柳书院万城华府 一层一户大平层,88000.0,382.0,万柳,北京,海淀,万柳,1
zu,业主委托 看房随时 干净整洁 随时入住 3居 有钥匙,57500.0,273.0,海淀,北京,海淀,万柳,1
zu,20套起看万柳书院万城华府龙湖颐和原著 3居4卫书院,130000.0,330.0,万柳,北京,海淀,万柳,1
zu,主做万柳书院万城华府 万泉新新龙湖颐原著看房随时 有,58000.0,307.0,万柳,北京,海淀,万柳,1
zu,新出万柳万柳书院科技装修 采光好5居看房随时+车位,136000.0,330.0,万柳,北京,海淀,万柳,1
zu,新出可看1 5套起看万柳书院 万城华府 高层光线好,88000.0,300.0,万柳,北京,海淀,万柳,1
zu,15套起看 有钥匙看房随时万城华府尚园 中间位置 三,75000.0,351.0,海淀,北京,海淀,万柳,1
zu,25套可看 复式官邸 三面采光 同看万万柳书院,68000.0,348.0,万柳,北京,海淀,万柳,1
zu,20套起看万柳书院万城华府龙湖颐和原著 3居4卫书院,130000.0,330.0,万柳,北京,海淀,万柳,1
zu,万城华府尚园 海园 龙园 玺园4室2厅3卫 +车位,56000.0,377.0,海淀,北京,海淀,万柳,1
zu,30套可看高层出租万城华府万柳书院 一层一户看房随时,85000.0,395.0,万柳,北京,海淀,万柳,1
zu,万城华府海园 4室3厅4卫 格局方正 卫生间全明,100000.0,298.0,海淀,北京,海淀,万柳,1
zu,下楼地铁站 万柳新小区 全新智能家居 有车位 可长租,58000.0,218.0,万柳,北京,海淀,万柳,1
zu,多套有钥匙 万柳书院上跃 万城华府 龙湖颐和原著 随,88000.0,375.0,万柳,北京,海淀,万柳,1
zu,联排别墅 精装修联排 六居 独立花园私家车库 可居家,90000.0,550.0,海淀,北京,海淀,万柳,1
zu,万柳书院次顶层三居室 隐私社区 采光好 三车位 一储,55000.0,218.0,万柳,北京,海淀,万柳,1
zu,万城华府尚园 4室3厅3卫 品质小区 格局方正,76000.0,299.0,海淀,北京,海淀,万柳,1
zu,"万柳书院精装大平层,家电齐全带车位,三面采光,中间位",65000.0,251.0,万柳,北京,海淀,万柳,1
zu,万城华府业主次出租 别墅 一层带 花圃 带车位配套齐,60000.0,347.0,海淀,北京,海淀,万柳,1
zu,万柳书院万城华府多套可以 218 245 270 3,65000.0,245.0,万柳,北京,海淀,万柳,1
zu,"书院大平层,精装修,次顶层,带车位",75000.0,246.0,海淀,北京,海淀,万柳,1
zu,有钥匙智能家居万柳书院 南北通透3居+车位储藏间巴沟,55000.0,218.0,万柳,北京,海淀,万柳,1
zu,万城华府海园 4室3厅2卫 南北通透 主卧朝南,100000.0,382.0,海淀,北京,海淀,万柳,1
zu,10套起看 万城华府 复式官邸 看房随时 有车位 干,58000.0,460.0,海淀,北京,海淀,万柳,1
zu,20套多看 新出 干净 万城华府万柳书院龙湖颐和原著,52000.0,312.0,万柳,北京,海淀,万柳,1
zu,20套可看 万城华府 万柳书院 一次出租 干净整洁,65000.0,218.0,万柳,北京,海淀,万柳,1
zu,10套起看 万城华府 万柳书院 大面宽 采光好 干净,66000.0,348.0,万柳,北京,海淀,万柳,1
zu,龙湖颐和原著 独栋别墅 万城华府 万柳书院同看润泽御,130000.0,1501.0,万柳,北京,海淀,万柳,1
zu,万城华府 平层五居室 拎包入住 家具家电齐全 同看,110000.0,380.0,海淀,北京,海淀,万柳,1
zu,20套可看 万城华府 万柳书院 一次出租 干净整洁,65000.0,218.0,万柳,北京,海淀,万柳,1
zu,万柳书院 3室2厅2卫 主卧朝南 同看万城华府 龙湖,78000.0,218.0,万柳,北京,海淀,万柳,1
zu,万柳书院新房 精致装修 同看万城华府 缦和北京 龙湖,85000.0,442.0,万柳,北京,海淀,万柳,1
zu,万柳万泉一层带南花园 满五年税费少 带车位 位置好,32000.0,200.0,万柳,北京,海淀,万柳,1
zu,万泉小三居 有 户型方正 看房效果,24000.0,136.0,海淀,北京,海淀,万柳,1
zu,光大水墨风景 4室2厅3卫 两房朝南 主卧朝南,36000.0,192.0,海淀,北京,海淀,万柳,1
zu,碧水云天东区 4室2厅2卫 带飘窗 格局方正,28500.0,178.0,海淀,北京,海淀,万柳,1
zu,干净整洁 万柳书院 万城华府海园龙湖颐和原著 4居看,65000.0,307.0,万柳,北京,海淀,万柳,1
zu,高层 出租 万城华府一梯一户平层(装修好带车位)看房,88000.0,395.0,海淀,北京,海淀,万柳,1
zu,万城华府海园 5室3卫3厅 378平精装修 1000,100000.0,378.0,海淀,北京,海淀,万柳,1
zu,万城华府龙园 5室3卫3厅 395.2平毛坯6000,60000.0,395.0,海淀,北京,海淀,万柳,1
zu,15套起看 有钥匙 万城华府+万柳书院 客厅挑空 +,63500.0,320.0,万柳,北京,海淀,万柳,1
zu,媲美万城华府 万柳书院 户型方正 精装修平层 配套双,125000.0,562.0,万柳,北京,海淀,万柳,1
zu,20套可看 万城华府海园 玺园 尚园 龙园 同看 万,65000.0,345.0,海淀,北京,海淀,万柳,1
zu,"10套房源起看万城华府,万柳书院,万泉新新家园,龙湖",60000.0,274.0,万柳,北京,海淀,万柳,1
zu,万城华府龙园 新出平层四居室 带车库 4室3厅3卫,55000.0,307.0,海淀,北京,海淀,万柳,1
zu,颐和园旁 龙湖颐和原著 万城华府 万柳书院同看 独栋,160000.0,1501.0,万柳,北京,海淀,万柳,1
