rent_month_yuan,area_m2
80000.0,416.0
58000.0,468.0
138000.0,330.0
120000.0,381.0
88000.0,395.0
88000.0,382.0
57500.0,273.0
130000.0,330.0
58000.0,307.0
136000.0,330.0
88000.0,300.0
75000.0,351.0
68000.0,348.0
130000.0,330.0
56000.0,377.0
85000.0,395.0
100000.0,298.0
58000.0,218.0
88000.0,375.0
90000.0,550.0
55000.0,218.0
76000.0,299.0
65000.0,251.0
60000.0,347.0
65000.0,245.0
75000.0,246.0
55000.0,218.0
100000.0,382.0
58000.0,460.0
52000.0,312.0
65000.0,218.0
66000.0,348.0
130000.0,1501.0
110000.0,380.0
65000.0,218.0
78000.0,218.0
85000.0,442.0
32000.0,200.0
24000.0,136.0
36000.0,192.0
28500.0,178.0
65000.0,307.0
88000.0,395.0
100000.0,378.0
60000.0,395.0
63500.0,320.0
125000.0,562.0
65000.0,345.0
60000.0,274.0
55000.0,307.0
160000.0,1501.0
60000.0,535.0
68000.0,300.0
35000.0,248.0
56000.0,348.0
24000.0,116.0
28000.0,194.0
13000.0,105.0
26000.0,145.0
145000.0,323.0
80000.0,416.0
58000.0,468.0
138000.0,330.0
120000.0,381.0
88000.0,395.0
88000.0,382.0
57500.0,273.0
130000.0,330.0
58000.0,307.0
136000.0,330.0
88000.0,300.0
75000.0,351.0
68000.0,348.0
130000.0,330.0
56000.0,377.0
85000.0,395.0
100000.0,298.0
58000.0,218.0
88000.0,375.0
90000.0,550.0
55000.0,218.0
76000.0,299.0
65000.0,251.0
60000.0,347.0
65000.0,245.0
75000.0,246.0
55000.0,218.0
100000.0,382.0
58000.0,460.0
52000.0,312.0
65000.0,218.0
66000.0,348.0
130000.0,1501.0
110000.0,380.0
65000.0,218.0
78000.0,218.0
85000.0,442.0
32000.0,200.0
24000.0,136.0
36000.0,192.0
28500.0,178.0
65000.0,307.0
88000.0,395.0
100000.0,378.0
60000.0,395.0
63500.0,320.0
125000.0,562.0
65000.0,345.0
60000.0,274.0
55000.0,307.0
160000.0,1501.0
60000.0,535.0
68000.0,300.0
35000.0,248.0
56000.0,348.0
24000.0,116.0
28000.0,194.0
13000.0,105.0
26000.0,145.0
145000.0,323.0
45000.0,199.0
75000.0,298.0
60000.0,395.0
60000.0,395.0
145000.0,323.0
60000.0,395.0
145000.0,323.0
60000.0,395.0
75000.0,246.0
110000.0,268.0
100000.0,382.0
90000.0,380.0
78000.0,275.0
100000.0,378.0
36000.0,246.0
35000.0,248.0
35000.0,248.0
35000.0,248.0
34000.0,200.0
38000.0,269.0
38000.0,216.0
36000.0,246.0
18500.0,147.0
22000.0,177.0
25000.0,171.0
28000.0,194.0
5600.0,52.0
28000.0,156.0
28000.0,194.0
29800.0,218.0
28000.0,156.0
30000.0,205.0
25000.0,182.0
14000.0,94.0
9900.0,81.0
10600.0,81.0
12160.0,120.0
5800.0,45.0
6500.0,52.0
5850.0,47.0
7100.0,52.0
8500.0,75.0
35000.0,248.0
90000.0,410.0
17500.0,99.0
60000.0,395.0
25000.0,171.0
34000.0,200.0
5600.0,52.0
35000.0,248.0
11500.0,67.0
85000.0,389.0
28000.0,194.0
145000.0,323.0
60000.0,395.0
38000.0,269.0
5600.0,52.0
