location,square,total,unit,calc_value,异常类型,异常值所在列,异常值判断标准,rent,rent_per_square
西三旗,180.34,19000000.0,105356.0,-98.96000000089407,异常值,unit,"均值=58478.35166666667, 标准差=15212.901276352046, 下限=12839.64783761053, 上限=104117.0554957228",,
西三旗,180.34,19000000.0,105356.0,-98.96000000089407,异常值,unit,"均值=58478.35166666667, 标准差=15212.901276352046, 下限=12839.64783761053, 上限=104117.0554957228",,
西三旗,180.34,19000000.0,105356.0,-98.96000000089407,异常值,unit,"均值=58478.35166666667, 标准差=15212.901276352046, 下限=12839.64783761053, 上限=104117.0554957228",,
西三旗,238.74,35000000.0,146603.0,0.2199999988079071,异常值,unit,"均值=58478.35166666667, 标准差=15212.901276352046, 下限=12839.64783761053, 上限=104117.0554957228",,
西三旗,238.74,35000000.0,146603.0,0.2199999988079071,异常值,unit,"均值=58478.35166666667, 标准差=15212.901276352046, 下限=12839.64783761053, 上限=104117.0554957228",,
西三旗,238.74,35000000.0,146603.0,0.2199999988079071,异常值,unit,"均值=58478.35166666667, 标准差=15212.901276352046, 下限=12839.64783761053, 上限=104117.0554957228",,
西三旗,208.87,22000000.0,105329.0,68.23000000044703,异常值,unit,"均值=58478.35166666667, 标准差=15212.901276352046, 下限=12839.64783761053, 上限=104117.0554957228",,
西三旗,208.87,22000000.0,105329.0,68.23000000044703,异常值,unit,"均值=58478.35166666667, 标准差=15212.901276352046, 下限=12839.64783761053, 上限=104117.0554957228",,
上地,43.3,7600000.0,175519.0,-27.300000000745058,异常值,unit,"均值=90615.88666666667, 标准差=24127.347420408867, 下限=18233.844405440075, 上限=162997.92892789328",,
上地,43.3,7600000.0,175519.0,-27.300000000745058,异常值,unit,"均值=90615.88666666667, 标准差=24127.347420408867, 下限=18233.844405440075, 上限=162997.92892789328",,
西二旗,137.0,9190000.0,58248.0,-1210024.0,异常值,calc_value,绝对值大于500,,
西二旗,98.69,12000000.0,121592.0,-85.51999999955297,异常值,unit,"均值=66795.63068181818, 标准差=17987.475401749958, 下限=12833.204476568302, 上限=120758.05688706806",,
西二旗,98.69,12000000.0,121592.0,-85.51999999955297,异常值,unit,"均值=66795.63068181818, 标准差=17987.475401749958, 下限=12833.204476568302, 上限=120758.05688706806",,
西二旗,98.69,12000000.0,121592.0,-85.51999999955297,异常值,unit,"均值=66795.63068181818, 标准差=17987.475401749958, 下限=12833.204476568302, 上限=120758.05688706806",,
西二旗,98.69,12000000.0,121592.0,-85.51999999955297,异常值,unit,"均值=66795.63068181818, 标准差=17987.475401749958, 下限=12833.204476568302, 上限=120758.05688706806",,
清河,179.0,,,,异常值,rent_per_square,"均值=129.6788199306052, 标准差=284.8839211219617, 下限=-724.9729434352798, 上限=984.3305832964902",800000.0,4469.27374301676
清河,179.0,,,,异常值,rent_per_square,"均值=129.6788199306052, 标准差=284.8839211219617, 下限=-724.9729434352798, 上限=984.3305832964902",800000.0,4469.27374301676
清河,179.0,,,,异常值,rent_per_square,"均值=129.6788199306052, 标准差=284.8839211219617, 下限=-724.9729434352798, 上限=984.3305832964902",800000.0,4469.27374301676
清河,179.0,,,,异常值,rent_per_square,"均值=129.6788199306052, 标准差=284.8839211219617, 下限=-724.9729434352798, 上限=984.3305832964902",800000.0,4469.27374301676
清河,179.0,,,,异常值,rent_per_square,"均值=129.6788199306052, 标准差=284.8839211219617, 下限=-724.9729434352798, 上限=984.3305832964902",800000.0,4469.27374301676
西三旗,11.0,,,,异常值,rent_per_square,"均值=88.66108276326617, 标准差=29.81167551188001, 下限=-0.7739437723738689, 上限=178.09610929890619",2050.0,186.36363636363637
西三旗,11.0,,,,异常值,rent_per_square,"均值=88.66108276326617, 标准差=29.81167551188001, 下限=-0.7739437723738689, 上限=178.09610929890619",2100.0,190.9090909090909
西三旗,8.0,,,,异常值,rent_per_square,"均值=88.66108276326617, 标准差=29.81167551188001, 下限=-0.7739437723738689, 上限=178.09610929890619",1600.0,200.0
西三旗,12.0,,,,异常值,rent_per_square,"均值=88.66108276326617, 标准差=29.81167551188001, 下限=-0.7739437723738689, 上限=178.09610929890619",2200.0,183.33333333333334
西三旗,10.0,,,,异常值,rent_per_square,"均值=88.66108276326617, 标准差=29.81167551188001, 下限=-0.7739437723738689, 上限=178.09610929890619",2350.0,235.0
西三旗,11.0,,,,异常值,rent_per_square,"均值=88.66108276326617, 标准差=29.81167551188001, 下限=-0.7739437723738689, 上限=178.09610929890619",2100.0,190.9090909090909
西三旗,9.0,,,,异常值,rent_per_square,"均值=88.66108276326617, 标准差=29.81167551188001, 下限=-0.7739437723738689, 上限=178.09610929890619",1900.0,211.11111111111111
西三旗,8.0,,,,异常值,rent_per_square,"均值=88.66108276326617, 标准差=29.81167551188001, 下限=-0.7739437723738689, 上限=178.09610929890619",1800.0,225.0
西三旗,11.0,,,,异常值,rent_per_square,"均值=88.66108276326617, 标准差=29.81167551188001, 下限=-0.7739437723738689, 上限=178.09610929890619",2800.0,254.54545454545453
西三旗,9.0,,,,异常值,rent_per_square,"均值=88.66108276326617, 标准差=29.81167551188001, 下限=-0.7739437723738689, 上限=178.09610929890619",2000.0,222.22222222222223
西三旗,9.0,,,,异常值,rent_per_square,"均值=88.66108276326617, 标准差=29.81167551188001, 下限=-0.7739437723738689, 上限=178.09610929890619",2000.0,222.22222222222223
西三旗,10.0,,,,异常值,rent_per_square,"均值=88.66108276326617, 标准差=29.81167551188001, 下限=-0.7739437723738689, 上限=178.09610929890619",2350.0,235.0
西三旗,12.0,,,,异常值,rent_per_square,"均值=88.66108276326617, 标准差=29.81167551188001, 下限=-0.7739437723738689, 上限=178.09610929890619",2350.0,195.83333333333334
西三旗,8.0,,,,异常值,rent_per_square,"均值=88.66108276326617, 标准差=29.81167551188001, 下限=-0.7739437723738689, 上限=178.09610929890619",1835.0,229.375
西三旗,12.0,,,,异常值,rent_per_square,"均值=88.66108276326617, 标准差=29.81167551188001, 下限=-0.7739437723738689, 上限=178.09610929890619",2500.0,208.33333333333334
西三旗,11.0,,,,异常值,rent_per_square,"均值=88.66108276326617, 标准差=29.81167551188001, 下限=-0.7739437723738689, 上限=178.09610929890619",2050.0,186.36363636363637
西三旗,8.0,,,,异常值,rent_per_square,"均值=88.66108276326617, 标准差=29.81167551188001, 下限=-0.7739437723738689, 上限=178.09610929890619",1500.0,187.5
西三旗,12.0,,,,异常值,rent_per_square,"均值=88.66108276326617, 标准差=29.81167551188001, 下限=-0.7739437723738689, 上限=178.09610929890619",2350.0,195.83333333333334
西三旗,8.0,,,,异常值,rent_per_square,"均值=88.66108276326617, 标准差=29.81167551188001, 下限=-0.7739437723738689, 上限=178.09610929890619",1600.0,200.0
西三旗,8.0,,,,异常值,rent_per_square,"均值=88.66108276326617, 标准差=29.81167551188001, 下限=-0.7739437723738689, 上限=178.09610929890619",1800.0,225.0
西三旗,11.0,,,,异常值,rent_per_square,"均值=88.66108276326617, 标准差=29.81167551188001, 下限=-0.7739437723738689, 上限=178.09610929890619",2800.0,254.54545454545453
上地,6.0,,,,异常值,rent_per_square,"均值=106.52120345445094, 标准差=30.63093181134103, 下限=14.628408020427855, 上限=198.41399888847403",1700.0,283.3333333333333
上地,12.0,,,,异常值,rent_per_square,"均值=106.52120345445094, 标准差=30.63093181134103, 下限=14.628408020427855, 上限=198.41399888847403",2400.0,200.0
上地,10.0,,,,异常值,rent_per_square,"均值=106.52120345445094, 标准差=30.63093181134103, 下限=14.628408020427855, 上限=198.41399888847403",2480.0,248.0
上地,10.0,,,,异常值,rent_per_square,"均值=106.52120345445094, 标准差=30.63093181134103, 下限=14.628408020427855, 上限=198.41399888847403",2050.0,205.0
上地,10.0,,,,异常值,rent_per_square,"均值=106.52120345445094, 标准差=30.63093181134103, 下限=14.628408020427855, 上限=198.41399888847403",2050.0,205.0
上地,17.0,,,,异常值,rent_per_square,"均值=106.52120345445094, 标准差=30.63093181134103, 下限=14.628408020427855, 上限=198.41399888847403",3500.0,205.88235294117646
上地,15.0,,,,异常值,rent_per_square,"均值=106.52120345445094, 标准差=30.63093181134103, 下限=14.628408020427855, 上限=198.41399888847403",3000.0,200.0
上地,12.0,,,,异常值,rent_per_square,"均值=106.52120345445094, 标准差=30.63093181134103, 下限=14.628408020427855, 上限=198.41399888847403",2450.0,204.16666666666666
上地,12.0,,,,异常值,rent_per_square,"均值=106.52120345445094, 标准差=30.63093181134103, 下限=14.628408020427855, 上限=198.41399888847403",2450.0,204.16666666666666
上地,15.0,,,,异常值,rent_per_square,"均值=106.52120345445094, 标准差=30.63093181134103, 下限=14.628408020427855, 上限=198.41399888847403",3000.0,200.0
西二旗,10.0,,,,异常值,rent_per_square,"均值=106.25632266082896, 标准差=34.449885801466124, 下限=2.9066652564305855, 上限=209.60598006522733",2650.0,265.0
西二旗,8.0,,,,异常值,rent_per_square,"均值=106.25632266082896, 标准差=34.449885801466124, 下限=2.9066652564305855, 上限=209.60598006522733",2200.0,275.0
西二旗,8.0,,,,异常值,rent_per_square,"均值=106.25632266082896, 标准差=34.449885801466124, 下限=2.9066652564305855, 上限=209.60598006522733",2000.0,250.0
西二旗,8.0,,,,异常值,rent_per_square,"均值=106.25632266082896, 标准差=34.449885801466124, 下限=2.9066652564305855, 上限=209.60598006522733",2300.0,287.5
西二旗,8.0,,,,异常值,rent_per_square,"均值=106.25632266082896, 标准差=34.449885801466124, 下限=2.9066652564305855, 上限=209.60598006522733",2000.0,250.0
西二旗,8.0,,,,异常值,rent_per_square,"均值=106.25632266082896, 标准差=34.449885801466124, 下限=2.9066652564305855, 上限=209.60598006522733",2300.0,287.5
