总价格,平米价格,面积
1190000,13612,87.42
520000,6730,77.26
1200000,9302,129
750000,7916,94.74
1650000,13200,125
1660000,5443,304.94
1320000,13678,96.5
1160000,11485,101
870000,7591,114.6
830000,8859,93.69
1400000,9459,148
1400000,9459,148
5000000,15990,312.69
3850000,11809,326
630000,7078,89
2550000,13350,191
1160000,9382,123.64
1160000,11485,101
650000,7386,88
1390000,11487,121
930000,7622,122
1490000,10719,139
830000,8736,95
930000,7685,121
960000,7111,135
850000,8947,95
1180000,8805,134
1850000,14341,129
800000,7692,104
1850000,14341,129
1490000,12314,121
550000,7236,76
830000,9222,90
550000,7142,77
1000000,7142,140
1180000,8740,135
480000,6760,71
950000,9343,101.68
1060000,7803,135.83
680000,10625,64
515000,6866,75
540000,7338,73.58
880000,9105,96.64
450000,6214,72.41
770000,8773,87.76
1590000,12541,126.78
800000,11267,71
460000,6553,70.19
840000,8103,103.66
860000,8866,96.99
920000,9006,102.15
750000,7511,99.85
618000,7445,83
463000,6251,74.06
740000,7956,93
1850000,14341,129
930000,8629,107.77
580000,6756,85.84
2950000,17455,169
700000,8452,82.82
总价未知,平米价未知,面积未知
总价未知,平米价未知,面积未知
660000,6280,105.09
500000,9035,55.34
600000,7863,76.3
937000,9254,101.25
710000,10142,70
1180000,11919,99
740000,9177,80.63
1160000,11485,101
760000,9156,83
630000,6810,92.5
1050000,10824,97
958000,9503,100.81
400000,7407,54
950000,9343,101.68
1100000,12149,90.54
1890000,11595,163
706000,8899,79.33
1040000,9470,109.82
960000,7384,130
1000000,12019,83.2
740000,7788,95.01
820000,8620,95.12
1160000,11485,101
3660000,18078,202.45
720000,10285,70
1720000,14405,119.4
720000,8000,90
960000,6693,143.43
298000,7842,38
530000,7681,69
880000,8979,98
900000,7500,120
1570000,12542,125.17
1390000,11487,121
978000,9104,107.42
520000,5159,100.78
540000,6446,83.76
920000,9482,97.02
1150000,9426,122
450000,6818,66
1450000,10583,137
850000,9659,88
1200000,13186,91
760000,7676,99
950000,9595,99
1250000,9848,126.92
2390000,11739,203.58
560000,8457,66.21
920000,8679,106
680000,8292,82
2880000,14218,202.55
1500000,12096,124
810000,9101,89
920000,11108,82.82
1050000,8076,130
1200000,13317,90.11
550000,7418,74.14
938800,10391,90.34
